meal,parking,room_type,lead_time,market,repeated,canceled_book,price,special_requests,output,num of people,nights
0,0,3,146,1,0,0,113,0,1,2,3
2,0,0,110,2,0,0,101,1,1,2,4
0,1,0,68,2,0,0,105,0,1,2,3
0,0,2,73,2,0,0,115,1,1,2,3
0,0,2,92,2,0,0,149,1,1,2,1
0,0,0,171,2,0,0,111,0,0,2,7
0,1,0,134,2,0,0,130,2,1,3,2
0,0,0,118,2,0,0,90,1,1,2,4
0,0,0,30,2,0,0,76,1,1,2,3
2,0,0,189,2,0,0,85,2,1,2,1
0,0,0,55,2,0,0,74,2,1,1,4
0,0,0,16,2,0,0,95,1,1,2,1
0,0,0,24,2,0,0,107,1,1,2,3
0,0,0,8,1,0,0,64,0,1,2,3
0,1,0,10,2,0,0,82,0,1,2,5
0,0,2,0,2,0,0,155,1,1,2,4
2,0,0,12,2,0,0,101,1,1,2,1
0,0,0,32,2,0,0,94,3,1,2,3
0,0,0,182,2,0,0,117,2,0,2,2
2,0,0,1,2,0,0,127,1,1,2,1
2,0,0,122,2,0,0,116,2,1,2,3
0,0,0,40,2,0,0,117,1,1,2,5
0,1,2,123,2,0,0,155,1,1,3,4
0,0,2,40,2,0,0,135,0,0,3,7
0,0,0,105,2,0,0,102,3,1,3,7
0,0,0,2,2,0,0,103,1,1,2,5
0,0,0,68,2,0,0,73,0,0,2,4
0,0,0,148,2,0,0,105,0,1,2,3
0,0,2,68,2,0,0,133,2,1,3,2
0,0,0,30,1,0,0,85,0,1,2,2
0,0,0,14,2,0,0,112,1,0,1,1
0,0,0,117,1,0,0,110,0,1,1,5
0,0,2,85,2,0,0,91,1,1,2,5
2,0,0,1,2,0,0,135,2,1,2,2
0,0,0,25,2,0,0,129,2,1,1,3
0,0,2,28,1,0,0,75,0,1,2,5
2,0,0,80,2,0,0,72,0,1,1,4
0,0,2,11,2,0,0,155,2,1,2,1
0,0,0,162,2,0,0,121,2,0,3,1
0,0,0,155,2,0,0,90,2,1,2,7
0,0,0,82,2,0,0,109,0,1,1,4
0,0,2,27,2,0,0,142,0,0,3,6
0,0,0,13,1,0,0,90,0,1,1,3
0,0,0,11,2,0,0,111,1,0,2,2
0,0,0,39,2,0,0,117,1,1,2,1
2,0,0,112,2,0,0,101,1,1,2,4
2,0,0,88,2,0,0,58,1,1,2,3
0,0,0,56,1,0,0,120,0,1,2,1
0,0,2,73,2,0,0,107,0,0,2,5
0,0,0,80,2,0,0,126,1,1,2,2
0,0,2,130,2,0,0,139,2,0,2,3
2,0,0,69,2,0,0,80,1,1,2,4
1,0,0,55,1,0,0,104,0,1,2,1
0,0,2,97,2,0,0,140,0,1,2,3
0,0,0,44,1,0,0,75,0,1,2,3
2,0,0,31,2,0,0,94,0,0,2,1
2,0,0,0,2,0,0,109,0,1,2,1
0,0,0,62,2,0,0,105,2,1,2,4
0,0,2,86,2,0,0,107,1,1,2,4
2,0,0,197,2,0,0,85,1,1,2,2
0,0,0,143,2,0,0,105,2,1,2,2
0,0,0,13,2,0,0,73,1,1,1,2
2,0,0,11,2,0,0,87,1,1,3,1
2,0,0,185,2,0,0,79,0,0,2,3
0,0,0,160,2,0,0,90,1,1,2,4
0,0,0,104,2,0,0,91,1,1,2,4
0,0,0,11,2,0,0,150,1,0,3,1
2,0,0,2,2,0,0,89,0,1,2,1
2,0,0,14,2,0,0,91,1,1,2,5
0,0,0,22,1,0,0,140,0,1,2,2
2,0,0,37,2,0,0,87,0,1,2,7
0,0,0,11,2,0,0,80,1,1,2,3
0,0,0,86,2,0,0,82,1,1,2,4
2,0,0,109,2,0,0,108,0,0,2,1
0,0,2,72,2,0,0,96,1,1,2,2
0,0,0,196,2,0,0,99,0,0,2,6
0,0,2,56,2,0,0,140,1,1,2,2
0,0,0,189,1,0,0,72,0,1,2,4
0,0,2,126,2,0,0,126,0,1,2,5
0,0,2,81,2,0,0,146,1,1,1,4
0,0,0,54,2,0,0,118,0,0,2,3
0,0,0,15,2,0,0,145,0,0,1,1
0,0,0,86,2,0,0,84,0,0,2,4
1,0,0,161,2,0,0,130,0,0,2,3
0,0,2,147,2,0,0,118,1,0,2,14
0,0,0,92,1,0,0,101,0,1,2,3
0,0,0,87,0,0,0,100,0,0,2,1
0,0,0,109,1,0,0,58,0,1,2,3
0,0,0,127,1,0,0,61,2,1,2,4
2,0,0,156,2,0,0,87,1,1,2,5
0,0,0,80,2,0,0,76,1,0,2,2
2,0,0,211,2,0,0,63,0,0,2,4
0,0,0,58,1,0,0,75,1,1,2,3
0,0,0,111,2,0,0,101,1,1,2,4
0,0,0,34,1,0,0,85,0,1,2,5
0,0,0,17,2,0,0,98,0,1,2,6
0,0,0,6,2,0,0,106,1,1,2,3
0,0,0,32,1,0,0,105,1,1,2,2
0,0,0,4,2,0,0,145,2,1,2,1
0,0,0,195,2,0,0,106,1,0,3,3
0,0,0,119,2,0,0,114,1,1,2,4
2,0,0,13,2,0,0,88,0,1,1,2
0,0,0,59,2,0,0,89,2,1,2,2
0,0,2,78,2,0,0,86,1,1,3,7
0,0,0,103,2,0,0,55,0,1,2,7
2,0,0,0,2,0,0,109,1,1,1,2
0,0,0,118,1,0,0,86,0,1,2,1
0,0,0,56,2,0,0,118,0,1,2,6
0,0,0,107,1,0,0,130,1,1,2,2
2,0,0,70,2,0,0,90,1,1,2,4
0,0,0,76,2,0,0,87,1,1,2,2
0,0,0,15,2,0,0,127,1,1,3,2
0,0,0,32,2,0,0,72,0,0,1,3
0,0,0,77,2,0,0,135,1,1,3,4
0,0,0,22,1,0,0,90,0,1,1,2
2,0,0,0,2,0,0,114,0,1,2,1
0,1,0,58,2,0,0,125,1,1,3,1
2,0,0,4,2,0,0,95,1,1,2,8
0,0,3,117,2,0,0,105,0,0,2,2
0,0,0,36,2,0,0,102,0,0,2,4
2,0,0,35,2,0,0,74,2,1,2,4
2,0,0,31,2,0,0,94,0,0,2,1
2,0,0,79,2,0,0,120,0,1,2,6
0,0,0,1,2,0,0,139,0,1,2,3
0,0,0,21,2,0,0,105,0,1,2,2
2,0,0,12,0,0,0,100,1,1,2,2
0,0,0,33,2,0,0,80,1,1,2,1
0,0,0,164,1,0,0,100,0,1,1,2
0,1,0,78,2,0,0,105,1,1,2,3
0,0,2,18,2,0,0,112,0,0,2,4
0,0,0,21,2,0,0,151,0,0,2,3
0,0,0,0,2,0,0,91,1,1,1,4
0,0,2,152,2,0,0,146,1,0,3,3
0,0,0,43,1,0,0,58,0,1,2,5
2,0,0,177,2,0,0,80,1,0,2,4
2,0,0,47,1,0,0,76,0,1,2,2
0,0,2,57,2,0,0,140,0,1,3,3
2,0,0,60,2,0,0,76,1,1,2,6
1,0,0,102,2,0,0,101,0,0,2,2
2,0,0,71,2,0,0,108,1,1,2,3
2,0,0,4,2,0,0,67,0,1,2,2
0,0,2,25,2,0,0,78,1,1,2,4
0,0,0,209,2,0,0,152,1,0,1,4
0,0,0,93,2,0,0,115,0,0,1,3
2,0,0,53,2,0,0,66,2,1,2,7
0,0,0,122,1,0,0,85,0,1,2,2
0,0,0,16,0,0,0,75,0,1,1,1
0,0,0,28,2,0,0,115,1,0,2,6
1,0,0,161,2,0,0,130,0,0,2,3
0,0,2,57,2,0,0,126,2,1,3,2
0,0,0,19,2,0,0,94,1,1,2,1
0,0,2,109,2,0,0,118,4,1,3,6
0,0,0,33,2,0,0,82,2,1,1,3
0,0,0,11,2,0,0,95,1,1,2,3
0,0,2,40,2,0,0,135,1,1,3,7
0,0,2,45,1,0,0,122,0,1,3,2
2,0,0,41,2,0,0,116,0,0,2,4
2,0,0,167,2,0,0,62,0,0,2,4
2,0,0,62,2,0,0,63,0,0,2,4
0,0,0,113,2,0,0,118,0,0,1,5
0,0,0,80,2,0,0,80,1,1,2,4
0,0,0,7,2,0,0,140,1,0,2,2
0,0,0,128,2,0,0,76,2,1,3,2
0,0,0,100,2,0,0,105,1,1,2,3
0,0,0,118,2,0,0,87,1,0,2,3
0,0,0,166,2,0,0,110,0,0,1,3
1,0,0,41,1,0,0,83,0,1,1,1
0,0,0,174,2,0,0,99,1,1,2,4
1,0,0,27,1,0,0,104,3,1,3,3
0,0,0,2,2,0,0,92,2,1,2,8
0,0,0,37,1,0,0,95,0,1,1,3
0,0,0,188,2,0,0,130,0,0,1,2
0,0,2,189,2,0,0,109,0,0,2,3
0,0,0,10,2,0,0,103,0,1,2,1
0,0,2,19,2,0,0,130,1,1,3,3
0,0,0,61,2,0,0,117,0,0,2,2
0,0,2,95,1,0,0,60,0,1,2,4
1,0,0,83,1,0,0,112,0,1,2,1
0,0,0,37,2,0,0,135,0,0,2,4
0,0,0,19,2,0,0,151,1,0,2,1
0,0,0,22,2,0,0,59,0,1,2,3
0,0,0,151,2,0,0,103,0,0,2,7
0,0,0,26,1,0,0,87,0,1,2,3
0,0,2,27,2,0,0,137,0,0,3,1
1,0,0,79,1,0,0,109,0,1,2,2
0,0,2,189,2,0,0,99,1,1,2,5
0,0,2,27,2,0,0,130,2,1,3,3
0,0,0,52,2,0,0,132,0,0,3,3
0,0,0,13,2,0,0,120,0,1,1,2
2,0,0,46,2,0,0,79,1,0,2,2
0,0,0,188,2,0,0,130,0,0,1,2
0,0,2,67,2,0,0,140,1,1,2,2
0,0,0,0,2,0,0,75,0,1,2,1
1,0,0,110,2,0,0,94,0,0,2,3
0,0,2,32,1,0,0,75,1,1,2,3
0,0,0,38,2,0,0,126,0,1,2,4
2,0,0,175,2,0,0,85,1,1,2,2
0,0,2,143,2,0,0,140,0,0,2,3
0,0,2,127,2,0,0,103,1,1,2,4
0,0,0,0,2,0,0,142,0,1,1,1
0,0,0,95,2,0,0,103,3,1,3,7
0,0,0,118,1,0,0,110,0,1,1,3
0,0,0,45,1,0,0,75,0,1,2,3
0,0,2,69,2,0,0,137,0,1,3,2
2,0,0,57,2,0,0,87,3,1,2,1
1,0,0,39,1,0,0,101,0,1,2,2
0,0,0,0,2,0,0,97,1,1,2,1
0,0,2,89,2,0,0,150,1,1,3,2
0,0,0,85,2,0,0,82,0,1,2,4
0,0,0,11,2,0,0,145,0,0,1,8
0,0,0,12,2,0,0,145,1,1,1,2
0,0,2,77,2,0,0,134,1,1,2,4
0,0,0,1,2,0,0,60,0,0,1,3
0,0,0,133,1,0,0,76,0,1,2,4
0,0,0,3,1,0,0,63,1,1,2,3
0,0,0,19,1,0,0,95,0,1,2,2
0,0,2,86,1,0,0,90,3,1,2,4
0,0,0,23,2,0,0,98,2,1,2,2
0,0,0,65,2,0,0,135,1,1,2,1
0,0,2,1,2,0,0,130,1,1,2,2
0,0,2,66,2,0,0,81,2,1,2,1
0,0,0,50,2,0,0,78,1,1,3,5
1,0,0,87,2,0,0,141,0,0,2,5
0,0,0,159,1,0,0,70,1,1,2,2
0,0,2,102,1,0,0,82,0,1,2,4
0,0,0,36,2,0,0,68,1,1,2,8
0,0,0,50,2,0,0,118,1,1,2,3
0,0,2,115,2,0,0,104,0,0,2,2
2,0,0,35,2,0,0,71,0,0,2,4
0,0,0,17,1,0,0,95,0,1,2,3
0,0,0,125,2,0,0,136,2,1,2,4
0,0,4,32,2,0,0,147,0,0,4,4
2,0,0,5,1,0,0,123,0,1,2,2
0,0,0,91,2,0,0,135,0,0,2,3
1,0,0,102,1,0,0,109,0,1,2,2
0,0,2,155,2,0,0,115,1,0,3,4
0,0,0,11,0,0,0,65,0,1,1,3
0,0,0,0,0,0,0,80,0,1,1,1
0,0,0,86,1,0,0,73,0,1,3,5
0,0,0,58,2,0,0,80,1,1,2,2
2,0,0,54,1,0,0,85,0,1,2,3
0,0,0,25,2,0,0,152,1,0,3,5
0,0,0,107,2,0,0,89,1,1,2,2
1,0,0,100,1,0,0,110,0,1,1,4
2,0,0,29,2,0,0,79,0,1,2,1
0,0,0,221,2,0,0,80,0,0,2,1
0,0,0,213,2,0,0,102,2,0,2,4
0,0,0,198,2,0,0,90,0,0,2,3
0,0,1,81,2,0,0,62,2,1,2,3
2,0,0,23,2,0,0,98,0,1,2,1
0,0,0,26,2,0,0,117,1,0,2,3
0,0,0,20,2,0,0,141,1,1,2,3
0,0,2,85,2,0,0,152,0,0,3,3
0,0,0,167,2,0,0,105,0,0,2,1
0,0,0,71,2,0,0,119,1,1,2,4
0,0,0,48,2,0,0,97,2,1,2,2
2,0,0,37,2,0,0,116,0,1,1,1
0,0,2,76,2,0,0,150,0,0,3,4
0,0,0,13,1,0,0,71,0,1,1,1
0,0,2,75,1,0,0,60,0,1,2,3
0,0,0,180,1,0,0,100,1,1,2,2
2,0,0,122,2,0,0,75,2,0,2,4
0,0,0,24,2,0,0,104,2,1,2,4
0,0,0,162,2,0,0,115,0,0,1,4
0,0,0,1,2,0,0,115,0,1,1,1
0,0,0,120,2,0,0,90,0,0,2,5
1,0,0,33,1,0,0,79,0,1,1,4
0,0,2,22,2,0,0,120,1,1,2,1
0,0,0,10,2,0,0,126,1,1,2,3
0,0,0,15,2,0,0,91,1,0,2,2
0,0,0,54,1,0,0,67,0,1,2,4
0,0,0,45,2,0,0,81,0,1,2,1
1,0,2,63,2,0,0,123,2,1,3,4
2,0,0,166,2,0,0,94,1,1,2,3
0,0,0,148,2,0,0,96,0,0,2,5
0,0,0,136,2,0,0,88,1,1,2,3
0,0,0,37,2,0,0,81,2,1,2,4
0,0,0,66,2,0,0,119,1,1,2,4
0,0,0,11,1,0,0,83,0,1,1,1
0,0,0,43,1,0,0,85,0,1,2,1
0,0,2,5,2,0,0,126,0,0,2,8
2,0,0,24,2,0,0,107,1,0,2,3
0,0,0,53,1,0,0,120,0,1,1,1
0,0,0,52,2,0,0,93,2,1,2,3
0,0,0,56,1,0,0,120,0,1,2,1
0,0,0,12,1,0,0,90,1,1,1,1
0,0,0,92,2,0,0,106,1,0,3,4
2,0,0,2,2,0,0,87,0,1,1,3
1,0,0,74,1,0,0,101,0,1,2,2
2,0,0,82,2,0,0,85,0,0,2,1
0,0,0,37,1,0,0,95,0,1,1,3
0,0,2,147,2,0,0,103,2,1,2,4
0,0,0,2,0,0,0,65,0,1,1,1
0,0,0,166,2,0,0,100,0,0,2,8
2,1,0,49,2,0,0,83,2,1,2,4
0,0,0,0,1,0,0,58,0,1,2,3
1,0,0,4,1,0,0,94,0,1,2,3
0,0,0,60,2,0,0,96,1,1,2,4
0,0,0,157,2,0,0,76,1,1,2,1
2,0,0,38,2,0,0,112,0,0,2,2
0,0,0,143,1,0,0,100,0,1,2,3
2,0,0,179,2,0,0,85,2,1,2,3
0,0,0,188,2,0,0,130,0,0,1,2
0,0,2,94,2,0,0,146,1,1,3,4
0,0,0,32,1,0,0,73,0,1,1,2
0,0,4,2,2,0,0,143,2,1,3,4
0,0,0,70,2,0,0,89,1,1,2,3
2,0,0,4,1,0,0,85,0,1,2,1
0,0,1,16,2,0,0,83,0,0,4,1
0,0,0,24,2,0,0,91,0,0,2,4
2,0,0,78,2,0,0,80,1,1,2,4
0,0,0,37,1,0,0,105,0,1,2,3
0,0,0,98,2,0,0,109,0,1,2,7
0,0,2,14,2,0,0,70,0,1,2,4
2,0,0,44,2,0,0,83,2,1,1,2
0,0,0,1,2,0,0,60,0,0,1,3
0,0,0,213,2,0,0,130,0,0,2,3
0,0,0,5,2,0,0,95,1,1,1,2
1,0,0,55,1,0,0,104,0,1,2,1
0,0,2,139,1,0,0,62,1,1,2,3
0,0,1,44,1,0,0,95,0,1,2,3
1,0,2,18,2,0,0,145,1,1,1,3
0,0,0,0,0,0,0,95,0,1,1,1
0,0,0,192,1,0,0,95,0,1,1,2
0,0,0,152,1,0,0,80,0,1,2,6
0,0,2,42,2,0,0,142,2,1,3,4
0,0,2,209,2,0,0,128,1,0,3,5
0,0,0,69,2,0,0,90,1,1,2,5
0,0,0,80,2,0,0,93,2,1,2,3
0,0,2,49,1,0,0,60,0,1,2,3
0,0,0,143,1,0,0,90,0,1,1,3
2,0,0,67,2,0,0,95,2,1,2,3
0,0,2,154,2,0,0,104,2,0,2,3
1,0,0,55,1,0,0,104,0,1,2,1
0,0,0,2,1,0,0,109,0,1,2,4
0,0,2,99,2,0,0,93,1,0,2,6
0,0,0,14,0,0,0,95,0,1,1,2
2,0,0,0,2,0,0,140,0,1,1,1
0,0,0,22,2,0,0,87,1,1,2,4
0,0,2,7,2,0,0,85,1,1,1,3
0,0,2,84,2,0,0,99,0,1,2,4
0,0,2,109,2,0,0,120,1,1,2,4
0,0,0,71,1,0,0,120,0,1,1,3
0,0,0,4,2,0,0,77,1,1,2,2
0,0,0,71,1,0,0,120,0,1,1,3
2,0,0,58,2,0,0,116,1,1,2,1
0,0,2,27,2,0,0,152,0,0,2,3
0,0,0,27,2,0,0,66,1,1,2,5
0,0,0,9,2,0,0,95,2,1,1,1
0,0,0,86,2,0,0,122,0,0,3,3
0,0,0,13,1,0,0,58,0,1,2,3
0,0,0,0,2,0,0,89,1,1,2,4
0,0,2,82,2,0,0,99,0,1,2,4
2,0,0,3,2,0,0,98,1,1,2,4
0,0,0,35,2,0,0,71,0,0,1,1
0,0,2,12,2,0,0,128,0,0,1,21
0,0,0,7,2,0,0,106,1,1,3,1
0,0,2,47,2,0,0,130,1,0,2,4
2,0,0,117,2,0,0,105,1,1,2,5
0,0,2,2,2,0,0,136,1,1,2,2
0,0,0,26,1,0,0,120,0,1,2,1
2,0,0,75,2,0,0,74,1,1,2,4
0,0,0,137,2,0,0,121,2,1,3,1
0,0,0,92,1,0,0,70,0,1,2,4
0,0,0,1,1,0,0,75,0,1,1,1
0,0,0,78,2,0,0,100,0,0,2,3
2,0,0,117,2,0,0,79,0,1,2,2
0,0,0,10,2,0,0,103,0,1,2,2
0,0,0,8,2,0,0,135,1,1,2,2
0,0,0,33,2,0,0,104,1,0,2,1
0,0,2,184,2,0,0,130,3,1,3,7
0,0,0,188,2,0,0,130,0,0,1,2
1,0,0,102,1,0,0,109,0,1,2,2
0,0,2,45,2,0,0,139,1,0,2,4
0,0,0,1,0,0,0,66,1,1,1,1
0,0,0,63,2,0,0,106,2,1,2,4
0,0,2,89,2,0,0,149,1,1,2,4
0,0,0,63,2,0,0,109,2,1,1,2
0,0,0,1,2,0,0,115,1,1,1,3
0,0,0,51,0,0,0,85,0,1,1,1
0,0,2,110,2,0,0,90,0,1,2,2
0,0,2,20,2,0,0,117,1,1,2,3
2,0,0,50,2,0,0,108,1,0,2,1
0,0,2,48,2,0,0,139,1,1,2,3
0,0,3,96,2,0,0,129,0,0,2,3
0,0,0,148,1,0,0,67,0,1,2,5
2,0,0,25,2,0,0,129,1,0,2,2
0,0,0,148,2,0,0,79,0,0,2,7
0,0,0,114,1,0,0,72,0,1,2,4
0,0,0,105,2,0,0,119,2,1,2,7
0,0,0,4,2,0,0,117,0,1,1,3
0,1,0,61,2,0,0,118,1,1,2,4
2,0,0,120,2,0,0,72,0,1,2,1
0,0,0,157,1,0,0,68,0,1,2,3
0,0,0,4,2,0,0,89,0,1,2,4
0,0,2,46,2,0,0,124,0,1,2,7
0,0,0,41,0,0,0,70,0,1,1,3
0,0,2,27,2,0,0,125,1,1,2,3
0,0,0,74,2,0,0,55,0,1,2,10
0,0,0,85,2,0,0,126,0,0,2,3
2,0,0,6,2,0,0,79,0,0,2,2
0,0,2,64,2,0,0,112,0,1,2,5
0,0,0,0,0,0,0,109,1,1,1,1
0,0,0,127,1,0,0,90,0,1,2,4
0,0,0,73,1,0,0,85,0,1,2,3
0,0,0,17,2,0,0,100,0,1,2,4
0,0,0,164,2,0,0,99,0,0,2,7
0,0,0,37,2,0,0,126,1,1,2,3
0,0,0,191,1,0,0,96,0,1,3,3
0,0,1,33,2,0,0,95,2,1,4,6
0,0,0,32,2,0,0,94,3,1,2,3
0,0,0,3,1,0,0,98,0,1,1,2
2,0,0,53,2,0,0,100,1,1,2,3
0,0,0,107,2,0,0,80,1,0,2,3
1,0,0,55,1,0,0,104,0,1,2,1
0,0,0,84,1,0,0,89,0,1,2,3
0,0,2,1,2,0,0,136,2,1,2,2
0,0,0,29,0,0,0,85,1,1,2,2
0,0,2,41,2,0,0,87,1,1,2,4
0,0,0,86,0,0,0,100,0,1,2,2
0,0,0,167,2,0,0,108,1,0,2,4
2,0,0,34,2,0,0,107,1,1,2,3
0,0,0,101,2,0,0,80,0,0,2,3
0,0,0,122,2,0,0,105,1,1,2,2
2,0,0,1,2,0,0,80,2,1,2,1
0,1,2,107,2,0,0,142,0,1,2,2
0,0,2,35,2,0,0,131,1,1,2,3
0,0,0,192,1,0,0,95,0,1,1,2
0,0,0,4,2,0,0,111,0,0,2,2
0,0,0,85,1,0,0,85,1,1,2,4
0,0,2,137,2,0,0,130,0,0,3,4
1,0,0,74,1,0,0,101,0,1,2,2
0,0,0,116,1,0,0,82,0,1,1,3
0,1,0,34,2,0,0,94,2,1,2,4
0,0,0,56,2,0,0,109,0,0,2,3
0,0,0,149,2,0,0,72,0,0,2,6
2,0,0,12,2,0,0,55,0,1,2,4
0,0,2,191,1,0,0,69,0,1,2,5
0,0,0,37,1,0,0,105,0,1,2,3
2,0,0,7,2,0,0,120,0,1,2,1
0,0,0,78,2,0,0,100,0,0,2,3
2,0,0,0,2,0,0,109,0,1,2,1
0,0,0,31,1,0,0,75,0,1,2,3
1,0,3,37,1,0,0,134,1,1,2,2
0,0,2,8,2,0,0,124,1,1,2,3
0,0,0,48,1,0,0,75,0,1,2,3
0,0,0,89,2,0,0,72,2,1,2,3
0,0,0,0,0,0,0,80,0,1,1,1
0,0,0,15,2,0,0,139,1,1,2,1
0,0,0,10,0,0,0,66,0,1,1,1
0,0,0,43,2,0,0,115,0,1,1,3
1,0,0,72,1,0,0,84,0,1,1,1
2,0,0,10,2,0,0,107,3,1,2,3
0,0,0,37,1,0,0,105,0,1,2,3
0,0,0,170,1,0,0,78,0,1,2,5
2,0,0,49,2,0,0,105,0,0,2,2
0,0,0,51,2,0,0,80,1,1,2,3
1,0,0,3,2,0,0,129,1,1,1,1
2,0,0,34,2,0,0,125,2,1,2,2
0,0,0,1,2,0,0,103,1,1,2,1
2,1,0,77,2,0,0,125,0,1,2,2
2,0,0,60,2,0,0,96,1,0,1,7
2,0,0,0,2,0,0,69,0,1,2,2
0,1,0,4,2,0,0,95,1,1,1,3
2,1,0,1,2,0,0,108,1,1,2,1
0,0,2,61,2,0,0,102,0,1,2,4
2,0,0,6,2,0,0,78,0,0,2,7
2,0,0,58,2,0,0,79,0,0,2,3
0,0,0,35,2,0,0,76,1,1,1,2
0,0,0,177,2,0,0,100,0,0,2,2
0,0,0,13,2,0,0,88,1,1,2,4
0,0,2,189,2,0,0,109,0,0,2,3
2,0,0,207,2,0,0,80,1,1,2,6
0,0,0,108,2,0,0,104,2,1,2,4
0,0,0,11,2,0,0,150,1,0,3,1
0,0,2,177,2,0,0,127,1,0,2,3
2,0,2,15,2,0,0,115,3,1,2,1
0,0,2,60,2,0,0,130,0,0,3,4
2,0,0,21,2,0,0,116,0,0,2,3
2,0,0,24,2,0,0,71,1,1,2,2
1,0,0,76,1,0,0,98,1,1,2,5
2,0,0,146,2,0,0,94,1,1,2,3
0,0,0,188,2,0,0,130,0,0,1,2
0,0,0,114,2,0,0,76,0,0,2,3
0,0,0,210,1,0,0,72,0,1,2,4
0,0,0,16,2,0,0,93,0,1,2,1
0,0,0,105,1,0,0,75,0,1,2,3
0,0,0,0,2,0,0,105,0,1,2,1
2,1,0,37,2,0,0,78,1,1,2,2
0,0,0,54,2,0,0,119,0,0,2,7
0,0,0,61,1,0,0,91,0,1,2,2
0,0,0,11,1,0,0,85,0,1,2,5
2,0,0,4,2,0,0,81,0,0,2,4
1,0,0,63,1,0,0,116,0,1,2,2
0,0,2,3,2,0,0,106,2,1,3,4
0,0,2,62,2,0,0,118,0,0,2,3
0,0,2,91,2,0,0,132,2,0,2,3
0,1,2,123,2,0,0,146,0,1,2,1
0,0,2,13,2,0,0,86,1,1,2,3
1,0,0,152,1,0,0,98,0,1,2,4
0,0,0,180,1,0,0,100,1,1,2,2
0,0,2,47,2,0,0,119,0,1,2,4
1,0,0,88,1,0,0,117,1,1,2,3
0,0,2,26,2,0,0,140,0,0,2,3
0,0,0,17,2,0,0,94,1,1,2,5
2,0,0,104,2,0,0,109,0,0,2,7
