meal,parking,room_type,lead_time,market,repeated,canceled_book,price,special_requests,num of people,nights,output
Not Selected,0,Room_Type 1,112,Online,0,0,101,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,88,Online,0,0,58,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,56,Offline,0,0,120,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,73,Online,0,0,107,0,2,5,Canceled
Meal Plan 1,0,Room_Type 1,80,Online,0,0,126,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,130,Online,0,0,139,2,2,3,Canceled
Not Selected,0,Room_Type 1,69,Online,0,0,80,1,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,55,Offline,0,0,104,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,97,Online,0,0,140,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,44,Offline,0,0,75,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,31,Online,0,0,94,0,2,1,Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,109,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,62,Online,0,0,105,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,86,Online,0,0,107,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,197,Online,0,0,85,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,143,Online,0,0,105,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,13,Online,0,0,73,1,1,2,Not_Canceled
Not Selected,0,Room_Type 1,11,Online,0,0,87,1,3,1,Not_Canceled
Not Selected,0,Room_Type 1,185,Online,0,0,79,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,160,Online,0,0,90,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,104,Online,0,0,91,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,150,1,3,1,Canceled
Not Selected,0,Room_Type 1,2,Online,0,0,89,0,2,1,Not_Canceled
Not Selected,0,Room_Type 1,14,Online,0,0,91,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,22,Offline,0,0,140,0,2,2,Not_Canceled
Not Selected,0,Room_Type 1,37,Online,0,0,87,0,2,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,80,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,86,Online,0,0,82,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,108,0,2,1,Canceled
Meal Plan 1,0,Room_Type 4,72,Online,0,0,96,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,196,Online,0,0,99,0,2,6,Canceled
Meal Plan 1,0,Room_Type 4,56,Online,0,0,140,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,189,Offline,0,0,72,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,126,Online,0,0,126,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,81,Online,0,0,146,1,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,54,Online,0,0,118,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,15,Online,0,0,145,0,1,1,Canceled
Meal Plan 1,0,Room_Type 1,86,Online,0,0,84,0,2,4,Canceled
Meal Plan 2,0,Room_Type 1,161,Online,0,0,130,0,2,3,Canceled
Meal Plan 1,0,Room_Type 4,147,Online,0,0,118,1,2,14,Canceled
Meal Plan 1,0,Room_Type 1,92,Offline,0,0,101,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,100,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,109,Offline,0,0,58,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,127,Offline,0,0,61,2,2,4,Not_Canceled
Not Selected,0,Room_Type 1,156,Online,0,0,87,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,80,Online,0,0,76,1,2,2,Canceled
Not Selected,0,Room_Type 1,211,Online,0,0,63,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,58,Offline,0,0,75,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,111,Online,0,0,101,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,34,Offline,0,0,85,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,17,Online,0,0,98,0,2,6,Not_Canceled
Meal Plan 1,0,Room_Type 1,6,Online,0,0,106,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,32,Offline,0,0,105,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,4,Online,0,0,145,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,195,Online,0,0,106,1,3,3,Canceled
Meal Plan 1,0,Room_Type 1,119,Online,0,0,114,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,13,Online,0,0,88,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,59,Online,0,0,89,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,78,Online,0,0,86,1,3,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,103,Online,0,0,55,0,2,7,Not_Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,109,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,118,Offline,0,0,86,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,56,Online,0,0,118,0,2,6,Not_Canceled
Meal Plan 1,0,Room_Type 1,107,Offline,0,0,130,1,2,2,Not_Canceled
Not Selected,0,Room_Type 1,70,Online,0,0,90,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,76,Online,0,0,87,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,15,Online,0,0,127,1,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,32,Online,0,0,72,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,77,Online,0,0,135,1,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,22,Offline,0,0,90,0,1,2,Not_Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,114,0,2,1,Not_Canceled
Meal Plan 1,1,Room_Type 1,58,Online,0,0,125,1,3,1,Not_Canceled
Not Selected,0,Room_Type 1,4,Online,0,0,95,1,2,8,Not_Canceled
Meal Plan 1,0,Room_Type 5,117,Online,0,0,105,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,36,Online,0,0,102,0,2,4,Canceled
Not Selected,0,Room_Type 1,35,Online,0,0,74,2,2,4,Not_Canceled
Not Selected,0,Room_Type 1,31,Online,0,0,94,0,2,1,Canceled
Not Selected,0,Room_Type 1,79,Online,0,0,120,0,2,6,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,139,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,21,Online,0,0,105,0,2,2,Not_Canceled
Not Selected,0,Room_Type 1,12,Corporate,0,0,100,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,33,Online,0,0,80,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,164,Offline,0,0,100,0,1,2,Not_Canceled
Meal Plan 1,1,Room_Type 1,78,Online,0,0,105,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,18,Online,0,0,112,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,21,Online,0,0,151,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,0,Online,0,0,91,1,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,152,Online,0,0,146,1,3,3,Canceled
Meal Plan 1,0,Room_Type 1,43,Offline,0,0,58,0,2,5,Not_Canceled
Not Selected,0,Room_Type 1,177,Online,0,0,80,1,2,4,Canceled
Not Selected,0,Room_Type 1,47,Offline,0,0,76,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,57,Online,0,0,140,0,3,3,Not_Canceled
Not Selected,0,Room_Type 1,60,Online,0,0,76,1,2,6,Not_Canceled
Meal Plan 2,0,Room_Type 1,102,Online,0,0,101,0,2,2,Canceled
Not Selected,0,Room_Type 1,71,Online,0,0,108,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,4,Online,0,0,67,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,25,Online,0,0,78,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,209,Online,0,0,152,1,1,4,Canceled
Meal Plan 1,0,Room_Type 1,93,Online,0,0,115,0,1,3,Canceled
Not Selected,0,Room_Type 1,53,Online,0,0,66,2,2,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,122,Offline,0,0,85,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,16,Corporate,0,0,75,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,28,Online,0,0,115,1,2,6,Canceled
Meal Plan 2,0,Room_Type 1,161,Online,0,0,130,0,2,3,Canceled
Meal Plan 1,0,Room_Type 4,57,Online,0,0,126,2,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,19,Online,0,0,94,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,109,Online,0,0,118,4,3,6,Not_Canceled
Meal Plan 1,0,Room_Type 1,33,Online,0,0,82,2,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,95,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,40,Online,0,0,135,1,3,7,Not_Canceled
Meal Plan 1,0,Room_Type 4,45,Offline,0,0,122,0,3,2,Not_Canceled
Not Selected,0,Room_Type 1,41,Online,0,0,116,0,2,4,Canceled
Not Selected,0,Room_Type 1,167,Online,0,0,62,0,2,4,Canceled
Not Selected,0,Room_Type 1,62,Online,0,0,63,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,113,Online,0,0,118,0,1,5,Canceled
Meal Plan 1,0,Room_Type 1,80,Online,0,0,80,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,7,Online,0,0,140,1,2,2,Canceled
Meal Plan 1,0,Room_Type 1,128,Online,0,0,76,2,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,100,Online,0,0,105,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,118,Online,0,0,87,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,166,Online,0,0,110,0,1,3,Canceled
Meal Plan 2,0,Room_Type 1,41,Offline,0,0,83,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,174,Online,0,0,99,1,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,27,Offline,0,0,104,3,3,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,2,Online,0,0,92,2,2,8,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Offline,0,0,95,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,188,Online,0,0,130,0,1,2,Canceled
Meal Plan 1,0,Room_Type 4,189,Online,0,0,109,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,10,Online,0,0,103,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,19,Online,0,0,130,1,3,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,61,Online,0,0,117,0,2,2,Canceled
Meal Plan 1,0,Room_Type 4,95,Offline,0,0,60,0,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,83,Offline,0,0,112,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Online,0,0,135,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,19,Online,0,0,151,1,2,1,Canceled
Meal Plan 1,0,Room_Type 1,22,Online,0,0,59,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,151,Online,0,0,103,0,2,7,Canceled
Meal Plan 1,0,Room_Type 1,26,Offline,0,0,87,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,27,Online,0,0,137,0,3,1,Canceled
Meal Plan 2,0,Room_Type 1,79,Offline,0,0,109,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,189,Online,0,0,99,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,27,Online,0,0,130,2,3,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,52,Online,0,0,132,0,3,3,Canceled
Meal Plan 1,0,Room_Type 1,13,Online,0,0,120,0,1,2,Not_Canceled
Not Selected,0,Room_Type 1,46,Online,0,0,79,1,2,2,Canceled
Meal Plan 1,0,Room_Type 1,188,Online,0,0,130,0,1,2,Canceled
Meal Plan 1,0,Room_Type 4,67,Online,0,0,140,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Online,0,0,75,0,2,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,110,Online,0,0,94,0,2,3,Canceled
Meal Plan 1,0,Room_Type 4,32,Offline,0,0,75,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,38,Online,0,0,126,0,2,4,Not_Canceled
Not Selected,0,Room_Type 1,175,Online,0,0,85,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,143,Online,0,0,140,0,2,3,Canceled
Meal Plan 1,0,Room_Type 4,127,Online,0,0,103,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Online,0,0,142,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,95,Online,0,0,103,3,3,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,118,Offline,0,0,110,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,45,Offline,0,0,75,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,69,Online,0,0,137,0,3,2,Not_Canceled
Not Selected,0,Room_Type 1,57,Online,0,0,87,3,2,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,39,Offline,0,0,101,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Online,0,0,97,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,89,Online,0,0,150,1,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,85,Online,0,0,82,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,145,0,1,8,Canceled
Meal Plan 1,0,Room_Type 1,12,Online,0,0,145,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,77,Online,0,0,134,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,60,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,133,Offline,0,0,76,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Offline,0,0,63,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,19,Offline,0,0,95,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,86,Offline,0,0,90,3,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,23,Online,0,0,98,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,65,Online,0,0,135,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,1,Online,0,0,130,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,66,Online,0,0,81,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,50,Online,0,0,78,1,3,5,Not_Canceled
Meal Plan 2,0,Room_Type 1,87,Online,0,0,141,0,2,5,Canceled
Meal Plan 1,0,Room_Type 1,159,Offline,0,0,70,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,102,Offline,0,0,82,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,36,Online,0,0,68,1,2,8,Not_Canceled
Meal Plan 1,0,Room_Type 1,50,Online,0,0,118,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,115,Online,0,0,104,0,2,2,Canceled
Not Selected,0,Room_Type 1,35,Online,0,0,71,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,17,Offline,0,0,95,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,125,Online,0,0,136,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 6,32,Online,0,0,147,0,4,4,Canceled
Not Selected,0,Room_Type 1,5,Offline,0,0,123,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,91,Online,0,0,135,0,2,3,Canceled
Meal Plan 2,0,Room_Type 1,102,Offline,0,0,109,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,155,Online,0,0,115,1,3,4,Canceled
Meal Plan 1,0,Room_Type 1,11,Corporate,0,0,65,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,80,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,86,Offline,0,0,73,0,3,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,58,Online,0,0,80,1,2,2,Not_Canceled
Not Selected,0,Room_Type 1,54,Offline,0,0,85,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,25,Online,0,0,152,1,3,5,Canceled
Meal Plan 1,0,Room_Type 1,107,Online,0,0,89,1,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,100,Offline,0,0,110,0,1,4,Not_Canceled
Not Selected,0,Room_Type 1,29,Online,0,0,79,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,221,Online,0,0,80,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,213,Online,0,0,102,2,2,4,Canceled
Meal Plan 1,0,Room_Type 1,198,Online,0,0,90,0,2,3,Canceled
Meal Plan 1,0,Room_Type 2,81,Online,0,0,62,2,2,3,Not_Canceled
Not Selected,0,Room_Type 1,23,Online,0,0,98,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,117,1,2,3,Canceled
